"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +2.25980804062E+001, +0.00000000000E+000
+2.50625000000E+008, +2.25981963911E+001, +0.00000000000E+000
+2.51250000000E+008, +2.25984237474E+001, +0.00000000000E+000
+2.51875000000E+008, +2.25989793747E+001, +0.00000000000E+000
+2.52500000000E+008, +2.25990035771E+001, +0.00000000000E+000
+2.53125000000E+008, +2.25984347156E+001, +0.00000000000E+000
+2.53750000000E+008, +2.26003025688E+001, +0.00000000000E+000
+2.54375000000E+008, +2.26015294481E+001, +0.00000000000E+000
+2.55000000000E+008, +2.26012938554E+001, +0.00000000000E+000
+2.55625000000E+008, +2.25986035253E+001, +0.00000000000E+000
+2.56250000000E+008, +2.26025017396E+001, +0.00000000000E+000
+2.56875000000E+008, +2.26003362024E+001, +0.00000000000E+000
+2.57500000000E+008, +2.26020040886E+001, +0.00000000000E+000
+2.58125000000E+008, +2.25999230171E+001, +0.00000000000E+000
+2.58750000000E+008, +2.26006616319E+001, +0.00000000000E+000
+2.59375000000E+008, +2.26015067177E+001, +0.00000000000E+000
+2.60000000000E+008, +2.25998194832E+001, +0.00000000000E+000
+2.60625000000E+008, +2.26000987871E+001, +0.00000000000E+000
+2.61250000000E+008, +2.26006065699E+001, +0.00000000000E+000
+2.61875000000E+008, +2.26008583448E+001, +0.00000000000E+000
+2.62500000000E+008, +2.25992569227E+001, +0.00000000000E+000
+2.63125000000E+008, +2.26002735216E+001, +0.00000000000E+000
+2.63750000000E+008, +2.26032563557E+001, +0.00000000000E+000
+2.64375000000E+008, +2.25981064764E+001, +0.00000000000E+000
+2.65000000000E+008, +2.25978885964E+001, +0.00000000000E+000
+2.65625000000E+008, +2.25992227409E+001, +0.00000000000E+000
+2.66250000000E+008, +2.25965309754E+001, +0.00000000000E+000
+2.66875000000E+008, +2.25965382261E+001, +0.00000000000E+000
+2.67500000000E+008, +2.25977360991E+001, +0.00000000000E+000
+2.68125000000E+008, +2.25987538888E+001, +0.00000000000E+000
+2.68750000000E+008, +2.25968929582E+001, +0.00000000000E+000
+2.69375000000E+008, +2.25984106406E+001, +0.00000000000E+000
+2.70000000000E+008, +2.25966874646E+001, +0.00000000000E+000
+2.70625000000E+008, +2.25963417041E+001, +0.00000000000E+000
+2.71250000000E+008, +2.25984197139E+001, +0.00000000000E+000
+2.71875000000E+008, +2.25978325702E+001, +0.00000000000E+000
+2.72500000000E+008, +2.25978511740E+001, +0.00000000000E+000
+2.73125000000E+008, +2.25990711054E+001, +0.00000000000E+000
+2.73750000000E+008, +2.25987300206E+001, +0.00000000000E+000
+2.74375000000E+008, +2.25965335059E+001, +0.00000000000E+000
+2.75000000000E+008, +2.25978062497E+001, +0.00000000000E+000
+2.75625000000E+008, +2.25980664726E+001, +0.00000000000E+000
+2.76250000000E+008, +2.25972261311E+001, +0.00000000000E+000
+2.76875000000E+008, +2.26002183173E+001, +0.00000000000E+000
+2.77500000000E+008, +2.26028716859E+001, +0.00000000000E+000
+2.78125000000E+008, +2.26024496354E+001, +0.00000000000E+000
+2.78750000000E+008, +2.26021955992E+001, +0.00000000000E+000
+2.79375000000E+008, +2.26035304459E+001, +0.00000000000E+000
+2.80000000000E+008, +2.26022087701E+001, +0.00000000000E+000
+2.80625000000E+008, +2.26041104713E+001, +0.00000000000E+000
+2.81250000000E+008, +2.26061114497E+001, +0.00000000000E+000
+2.81875000000E+008, +2.26066838250E+001, +0.00000000000E+000
+2.82500000000E+008, +2.26072300499E+001, +0.00000000000E+000
+2.83125000000E+008, +2.26101851212E+001, +0.00000000000E+000
+2.83750000000E+008, +2.26130431142E+001, +0.00000000000E+000
+2.84375000000E+008, +2.26121488887E+001, +0.00000000000E+000
+2.85000000000E+008, +2.26164554518E+001, +0.00000000000E+000
+2.85625000000E+008, +2.26164644564E+001, +0.00000000000E+000
+2.86250000000E+008, +2.26172643831E+001, +0.00000000000E+000
+2.86875000000E+008, +2.26208867689E+001, +0.00000000000E+000
+2.87500000000E+008, +2.26238240085E+001, +0.00000000000E+000
+2.88125000000E+008, +2.26270420753E+001, +0.00000000000E+000
+2.88750000000E+008, +2.26261629339E+001, +0.00000000000E+000
+2.89375000000E+008, +2.26291896471E+001, +0.00000000000E+000
+2.90000000000E+008, +2.26290073025E+001, +0.00000000000E+000
+2.90625000000E+008, +2.26366508784E+001, +0.00000000000E+000
+2.91250000000E+008, +2.26353596997E+001, +0.00000000000E+000
+2.91875000000E+008, +2.26364359496E+001, +0.00000000000E+000
+2.92500000000E+008, +2.26383812355E+001, +0.00000000000E+000
+2.93125000000E+008, +2.26415170822E+001, +0.00000000000E+000
+2.93750000000E+008, +2.26412874566E+001, +0.00000000000E+000
